str,en_US,zh_TW,zn_CN,vi_VN,ja_JP,id_ID
promotional_card_has_been_successfully_saved,Promotional card has been successfully saved.,已成功保存推廣卡,已成功保存推廣卡,Đã lưu thành công thẻ quảng cáo,プロモーションカードが正常に保存されました。,Kartu promosi telah berhasil disimpan
promotional_share,Promotional Share,推廣分享,推廣分享,Phổ biến chia sẻ,プロモーションシェア,Promosi berbagi
promotion_record,Promotion Record,推廣紀錄,推廣紀錄,Ghi chép quảng bá,昇進記録,Catatan Promosi
count_person_promotion,-person promotion,人推廣,人推廣,Người quảng bá,-person promotion. の翻訳：-人昇進。,Translation: Promosi oleh orang
promoted,Promoted,已推廣,已推廣,Đã được quảng bá,昇進しました。,Translation: Sudah dipromosikan
invitation_code,Invitation Code,邀請碼,邀請碼,Mã mời,招待コード,Kode undangan
copy_and_share,Copy & Share,複製分享,複製分享,Chia sẻ sao chép,コピー＆シェア,Salin berbagi
successfully_copied,Successfully copied.,複製成功,複製成功,Sao chép thành công,正常にコピーしました。,Berhasil disalin
screen_short_share,Screen Shots Share,截圖分享,截圖分享,Chia sẻ ảnh chụp màn hình,スクリーンショット共有,Bagikan tangkapan layar
same_tag,Same Tag,同標籤,同標籤,Cùng nhãn hiệu,同じタグ,Dengan tag
no_related_video_and_guess_you_like,"No any related videos, Guess you'll like..,",找不到相關影片，猜您也會喜歡,找不到相關影片，猜您也會喜歡,"Không tìm thấy video liên quan, có lẽ bạn cũng sẽ thích",関連する動画はありません。気に入ると思いますが…,"Tidak dapat menemukan video terkait, Anda mungkin juga akan menyukainya"
download_now,Download Now,立刻下載,立刻下載,Tải xuống ngay,ダウンロードする,Unduh sekarang
id_card,ID Card,身份卡,身份卡,Thẻ nhận dạng,IDカード,Kartu Identitas
online_customer_service,Online Customer Service,在線客服,在線客服,Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服. Dịch: Dịch văn bản sau sang tiếng Việt (vi_VN). Văn bản: 在線客服,オンラインカスタマーサービス,Layanan Pelanggan Online
more,More,更多,更多,Thêm nữa,もっと,Lebih banyak
discover,Discover,探索更多內容,探索更多內容,Khám phá nhiều nội dung hơn,発見する,Jelajahi konten lebih lanjut
input_abnormal,Input Abnormal,輸入異常,輸入異常,Lỗi nhập,入力異常,Masukan tidak normal
please_reload,Please reload,請重新加載,請重新加載,Vui lòng tải lại,リロードしてください。,Silakan muat ulang
actor,Actor,演員,演員,Diễn viên,俳優,Aktor
browse_history,Browse History,我的足跡,我的足跡,Những dấu chân của tôi,ブラウズ履歴,Jejak Saya
like_playlist,Like Playlist,我的喜歡,我的喜歡,Sở thích của tôi,プレイリストのように,Kesukaanku
collect_playlist,Collect Playlist,我的收藏,我的收藏,Bộ sưu tập của tôi,プレイリストを集める,Koleksi Saya
count_likes,Likes,個讚數,個讚數,Số lượt thích,Translation: いいね,Jumlah suka
member_id,Member ID,用戶ID,用戶ID,ID người dùng,メンバーID,ID Pengguna
member_center,Member center,會員中心,會員中心,Trung tâm thành viên,メンバーセンター, Pusat Keanggotaan
search_record,Search record,搜索紀錄,搜索紀錄,Lịch sử tìm kiếm,検索記録,Catatan pencarian
search_recommendation,Search Recommendation,搜索推薦,搜索推薦,Tìm kiếm đề xuất,検索推奨,Rekomendasi pencarian
popular_recommendation,Popular Recommendation,熱門推薦,熱門推薦,Đề xuất phổ biến,人気のおすすめ,Rekomendasi Populer
coming_soon,Coming soon,精彩即將呈現,精彩即將呈現,Sắp tới sẽ có những điều thú vị,Translation: 近日公開,Keseruan segera hadir
upgrade_to_vip_for_unlimited_movie,Open VIP for unlimited movie watching,開通 VIP 無限看片,開通 VIP 無限看片,Mở VIP để xem phim vô hạn,無制限の映画鑑賞のためのVIPを開放してください。,Aktifkan VIP untuk tontonan tak terbatas
upgrade_now,Upgrade Now,立即升級,立即升級,Nâng cấp ngay,アップグレードする,Tingkatkan sekarang
not_enough,Not enough,看不過癮,看不過癮,Không thể thỏa mãn được,足りません。,Tidak puas melihatnya
unlock_now,Unlock Now,立即解鎖,立即解鎖,Mở khóa ngay lập tức,今すぐ解除,Buka kunci sekarang
screen_is_locked,Screen is locked,螢幕已鎖定,螢幕已鎖定,Màn hình đã bị khóa,画面がロックされています。,Layar telah terkunci
screen_is_unlocked,Screen is unlocked,螢幕已解鎖,螢幕已解鎖,Màn hình đã được mở khóa,画面がロック解除されました。,Layar telah terbuka kunci
same_actor,Same actor,同演員,同演員,Cùng diễn viên,同じ俳優。,Aktor yang sama
highlights,Highlights,選集,選集,Tuyển tập,ハイライト,Kompilasi
insufficient_gold_balance,Insufficient Gold Balance,金幣餘額不足,金幣餘額不足,Số dư tiền xu không đủ,不足しているゴールド残高,Saldo koin tidak cukup
purchase_failed,Purchase Failed,購買失敗,購買失敗,Mua hàng thất bại,購入に失敗しました。,Pembelian gagal
go_to_top_up_now_for_full_exp,Go to Top Up now to get the full experience!,請立即前往充值已獲得最完整的體驗,請立即前往充值已獲得最完整的體驗,Vui lòng điền ngay để nạp tiền để có trải nghiệm tốt nhất,フルエクスペリエンスを得るために、今すぐトップアップへ行ってください！,Silakan segera isi ulang untuk mendapatkan pengalaman yang paling lengkap
go_to_top_up,Go to Top Up,前往充值,前往充值,Đi đến nạp tiền,チャージに行く,Pergi untuk isi ulang
confirm,Confirm,確認,確認,Xác nhận,確認してください。,Konfirmasi
cancel,Cancel,取消,取消,Hủy bỏ,キャンセル,Batal
press_like_it_if_you_like_it,Press Like it if you like it.,喜歡就點讚,喜歡就點讚,Hãy thích nếu bạn thích,Translation: もし気に入ったら「いいね！」を押してください。,Like jika Anda menikmati
add_to_favorites,Add to Favorites,添加到收藏,添加到收藏,Thêm vào danh sách yêu thích,お気に入りに追加,Tambahkan ke favorit
this_movie_is_available_for_purchase,End of Trial. This movie is available for purchase.,試看結束，此影片需付費購買,試看結束，此影片需付費購買,"Sau khi xem xong, bạn cần phải mua để xem tiếp video này",試用期間終了。この映画は購入可能です。,"Masa percobaan telah berakhir, video ini memerlukan pembelian untuk diakses"
price,Price,價格,價格,Giá cả,価格,Harga
coins,Coins,金幣,金幣,Tiền vàng,コイン,Koin
your_current_coins,Your current coins,您目前擁有的金幣,您目前擁有的金幣,Số tiền xu bạn hiện đang sở hữu,あなたの現在のコイン。,Anda saat ini memiliki koin emas
pay_to_watch,Pay to watch,付費觀看,付費觀看,Xem trả phí,支払って視聴する,Translation: Berbayar untuk menonton
end_of_Trial_upgrade_to_full_version,"End of Trial, Upgrade to Full Version",試看結束，升級觀看完整版,試看結束，升級觀看完整版,"Khi kết thúc thử nghiệm, hãy nâng cấp để xem phiên bản đầy đủ",試用期間の終了、完全版へのアップグレード。,"Masa percobaan telah berakhir, tingkatkan untuk menonton versi lengkap"
length_of_film,Length,片長,片長,Thời lượng phim,長さ,Durasi film
unlocked_for_full_playback,Unlocked for full playback,解鎖後可完整播放,解鎖後可完整播放,"Sau khi mở khóa, bạn có thể phát lại hoàn toàn",フル再生のためにアンロックされました。,"Setelah membuka kunci, dapat diputar secara penuh"
upgrade_now_for_unlock,Upgrade Now For Unlock,立即升級解鎖,立即升級解鎖,Nâng cấp và mở khóa ngay lập tức,アップグレードして今すぐアンロック,Tingkatkan sekarang untuk membuka kunci
count_gold_coins_to_unlock,coins to unlock,金幣解鎖,金幣解鎖,Mở khóa bằng vàng,解除するためのコイン,Koin Membuka Kunci
enter_now,Enter Now,立即進入,立即進入,Vào ngay,Translation: 今すぐ入力してください。,Masuk sekarang
count_down,wait..,倒數,倒數,Đếm ngược,待って,Translation: Hitung mundur
forgot_password,Forgot password,忘記密碼,忘記密碼,Quên mật khẩu,パスワードを忘れた,Lupa kata sandi
contact_customer_service,Contact Customer Service,請聯繫客服人員,請聯繫客服人員,Vui lòng liên hệ với nhân viên dịch vụ khách hàng,顧客サービスに連絡してください。,Silakan hubungi layanan pelanggan
retrieve_password,Retrieve Password,找回密碼,找回密碼,Lấy lại mật khẩu,パスワードを取得,Mengambil kembali kata sandi
forgot,Forgot?,忘記了?,忘記了?,Quên rồi à?,忘れた？,Lupa?
for_account_retrieval,"For account retrieval, please keep it in a safe place and do not disclose it.",用於找回帳號，請妥善保存，請勿洩露,用於找回帳號，請妥善保存，請勿洩露,"Được sử dụng để khôi phục tài khoản, vui lòng lưu trữ cẩn thận, không tiết lộ",アカウントの回復のため、安全な場所に保管してください。そして、それを他人に教えないでください。,"Untuk mengambil kembali akun Anda, harap simpan dengan baik dan jangan dibocorkan"
identity_card_has_been_successfully_saved,Identity card has been successfully saved,已成功保存身份卡,已成功保存身份卡,Đã lưu thẻ nhận dạng thành công,証明書が正常に保存されました。,Kartu identitas berhasil disimpan
please_save_the_screenshot,Please save the screenshot,請截圖保存,請截圖保存,Vui lòng chụp ảnh màn hình và lưu lại,スクリーンショットを保存してください。,Silakan screenshot dan simpan
official_website,official website,官方地址,官方地址,Địa chỉ chính thức,公式ウェブサイト,Alamat resmi
the_top_is_down,You've scrolled all the way down,頂到底了,頂到底了,Đạt đến đáy rồi,トップは下がっています。,Anda telah menggulir hingga ke bawah sepenuhnya
its_too_deep_maam,You've scrolled all the way down,太深了客倌,太深了客倌,Quá sâu rồi khách ơi,奥が深すぎます、奥様。,Anda telah menggulir hingga ke bawah sepenuhnya
take_your_time_dont_be_so_picky,You've scrolled all the way down,慢慢看，別這麼挑,慢慢看，別這麼挑,"Hãy nhìn chậm, đừng chọn lựa quá kỹ",ゆっくり時間をかけて、そんなに好き嫌いしないでください。,Anda telah menggulir hingga ke bawah sepenuhnya
ive_reached_the_center_of_my_heart,You've scrolled all the way down,花心已抵達,花心已抵達,Hoa đã đến,私の心の中心に達しました。,Anda telah menggulir hingga ke bawah sepenuhnya
im_sure_your_are_the_same_kind_of_me,You've scrolled all the way down,確認過眼神，您是同道中人,確認過眼神，您是同道中人,"Xác nhận qua ánh mắt, bạn là người cùng chí hướng",私はあなたも私と同じ種類の人間だと確信しています。,Anda telah menggulir hingga ke bawah sepenuhnya
select_all,Select All,全選,全選,Chọn tất cả,全て選択,Pilih Semua
delete,Delete,刪除,刪除,Xóa bỏ,削除,Hapus
there_is_nothing_here,There is nothing here,這裡什麼都沒有,這裡什麼都沒有,Ở đây không có gì cả,ここには何もありません。,Tidak ada apa-apa di sini
loading,Loading,讀取中,讀取中,Đang tải,Translation: ローディング,Sedang memuat
entry_window,Enter,進入櫥窗,進入櫥窗,Vào cửa hàng,エントリーウィンドウ,Masuk
username,Username,用戶名稱,用戶名稱,Tên người dùng,ユーザー名,Nama pengguna
its_a_big_file,Loading,檔案很大，你忍一下,檔案很大，你忍一下,"Tệp tin rất lớn, bạn hãy kiên nhẫn chút",ファイルが大きいので、しばらくお待ちください。,Sedang memuat
its_not_ready_yet,Loading,還沒準備好，你先悠著來,還沒準備好，你先悠著來,"Chưa sẵn sàng, bạn hãy đến thong thả trước",まだ準備ができていません。ゆっくりしてください。,Sedang memuat
its_about_to_happen,Loading,精彩即將呈現,精彩即將呈現,Sắp tới sẽ có những điều thú vị,それが起ころうとしています。,Sedang memuat
we_are_trying_to_load_t,Loading,努力加載中,努力加載中,Đang cố gắng tải,私たちはそれを読み込もうとしています。,Sedang memuat
let_the_file_load_for_a_while,Loading,讓檔案載一會兒,讓檔案載一會兒,Hãy để tệp tải một chút,ファイルがしばらく読み込まれるのを待ってください。,Sedang memuat
its_worth_wating_for_the_good_stuff,Loading,美好事物，值得等待,美好事物，值得等待,"Những điều tuyệt vời, đáng đợi đến",良いものを待つ価値がある。,Sedang memuat
trying_to_move_bricks,Loading,拼命搬磚中,拼命搬磚中,Đang cố gắng chuyển đá,レンガを動かそうとしています。,Sedang memuat
loading_now,Loading,正在加載,正在加载,Đang tải,読み込み中です。,Sedang memuat
all_female_actors,All girls,全部女優,全部女優,Tất cả nữ diễn viên,全ての女優リスト,Semua aktris
login,Login,登入,登入,Đăng nhập,ログイン,Masuk
confirm_action,Confirm,確定,確定,Xác nhận,確認,Pastikan
same_type,Same Type,同類型,同類型,Cùng Loại,同類型: 同じタイプ,Sejenis
immediate_download,Immediate Download,立即下載,立即下載,Tải Ngay,直ちにダウンロード,Unduh sekarang
hint_message,Hint,提示,提示,Gợi Ý,ヒント,Petunjuk
maintain_account_please_register_to_prevent_loss,"To maintain your account, please register to prevent loss.",為保持您的帳號，請先註冊防止丟失,為保持您的帳號，請先註冊防止丟失,"Để bảo vệ tài khoản của bạn, vui lòng đăng ký để tránh mất mát.",アカウントを維持するために、まず登録して失うことがないようにしてください。,"Untuk menjaga akun Anda, silakan daftar terlebih dahulu untuk mencegah kehilangan"
more_services,More Services,更多服務,更多服務,Dịch vụ Khác,より多くのサービス,Lebih banyak layanan
version_number,Version Number:,版本號:,版本號:,Số Phiên Bản:,バージョン番号：,Versi:
register_login,Register/Login,註冊/登入,註冊/登入,Đăng Ký/Đăng Nhập,登録/ログイン,Daftar/Masuk
login_success,Login Successful,登入成功,登入成功,Đăng Nhập Thành Công,ログイン成功,Berhasil masuk
login_failed_user_does_not_exist,"Login failed, user does not exist.",登入失敗，用戶不存在。,登入失敗，用戶不存在。,"Đăng nhập thất bại, người dùng không tồn tại.",ログインに失敗しました、ユーザーが存在しません。,"Login gagal, pengguna tidak ada"
album_selection,Album Selection,相簿選擇,相簿選擇,Chọn Album,アルバム選択,pilih foto
take_photo,Take Photo,拍照,拍照,Chụp Ảnh,写真を撮る,Ambil foto
insufficient_permissions,Insufficient Permissions,權限不足,權限不足,Quyền Truy Cập Không Đủ,権限が不足しています。,Izin tidak cukup
allow_camera_access,Please allow access to the camera,請允許訪問相機,請允許訪問相機,Vui lòng cho phép truy cập máy ảnh,カメラへのアクセスを許可してください。,Translation: Mohon izinkan akses kamera
find_account,Find Account,找回帳號,找回帳號,Tìm Tài Khoản,アカウントを取り戻す,Mengembalikan Akun
use_mobile_app_to_recover_account,Please use the mobile app to recover your account,請使用手機應用程式找回帳號,請使用手機應用程式找回帳號,Vui lòng sử dụng ứng dụng di động để khôi phục tài khoản của bạn,スマートフォンアプリを使用してアカウントを回復してください。,Silakan gunakan aplikasi seluler untuk mengambil kembali akun Anda
download_file,Download,下載,下載,Tải Xuống,ダウンロード,Unduh
like_button,Like,點讚,點讚,Thích,いいね,Translation: Menyukai
more_options,More >,更多 >,更多 >,Thêm >,もっと見る >,Lebih banyak >
follow,Follow,關注,關注,Theo Dõi,注目,Perhatian
followed,Followed,已關注,,,,Telah diikuti
account_credentials,Account Credentials,帳號憑證,帳號憑證,Chứng Nhận Tài Khoản,アカウント認証,Kredensial akun
edit_translation,Edit,編輯,編輯,Chỉnh Sửa,編集,Sunting
input_name,Input Name,輸入名稱,輸入名稱,Nhập Tên,名称を入力してください。,Masukkan nama
please_enter_nickname,Please enter a nickname,請輸入暱稱,請輸入暱稱,Vui lòng nhập biệt danh,ニックネームを入力してください。,Silakan masukkan nama panggilan
edit_error,Edit Error,修改錯誤,修改錯誤,Lỗi Chỉnh Sửa,誤りを修正する,Translation: Mengedit kesalahan
modify_nickname,Modify Nickname,修改暱稱,修改暱稱,Chỉnh Sửa Biệt Danh,ニックネームを変更する,Ubah nama panggilan
new_nickname,New Nickname,新暱稱,新暱稱,Biệt Danh Mới,新しいニックネーム,Nama panggilan baru
setup_completed,Setup Completed,設置完成,設置完成,Cài Đặt Hoàn Tất,設定完了,Pengaturan selesai
all_creators,All Creators,全部UP主,全部UP主,Tất Cả Người Tạo Nội Dung,全てのUP主,Semua Kreator
account_length_6_to_12_letters_numbers,"Account must be 6-12 characters, letters, and numbers",帳號為6-12位字母及數字,帳號為6-12位字母及數字,Tài khoản phải có từ 6-12 ký tự chữ cái và số,アカウントは6～12文字の英数字です。,Akun harus terdiri dari 6-12 huruf dan angka
password_length_8_to_20_characters_and_numbers,"Password must be 8-20 characters, letters, and numbers",密碼為8-20位字母及數字,密碼為8-20位字母及數字,Mật khẩu phải có từ 8-20 ký tự chữ cái và số,パスワードは8-20文字の英数字です。,Kata sandi harus terdiri dari 8-20 huruf dan angka
validate_password_mismatch,Validation password mismatch,驗證密碼不一致,驗證密碼不一致,Kiểm tra Mật khẩu không trùng khớp,パスワードが一致していません。,Kata sandi verifikasi tidak konsisten
register_error,Registration Error,註冊錯誤,註冊錯誤,Lỗi Đăng Ký,登録エラー,Kesalahan pendaftaran
invalid_account_or_password,Invalid account or password,帳號或密碼不正確,帳號或密碼不正確,Tài khoản hoặc mật khẩu không chính xác,アカウントまたはパスワードが正しくありません。,Akun atau kata sandi tidak benar
account_already_exists,Account already exists,帳號已存在,帳號已存在,Tài khoản đã tồn tại,アカウントは既に存在しています。,Akun sudah ada
go_to_login,Go to Login,前往登入,前往登入,Chuyển đến Đăng Nhập,ログインに進む,Pergi untuk masuk
message_center,Message Center,消息中心,消息中心,Trung Tâm Tin Nhắn,ニュースセンター,Pusat Pesan
announcement,Announcement,公告,公告,Thông Báo,公告,Pengumuman
system_notification,System Notification,系統通知,系統通知,Thông Báo Hệ Thống,システム通知,Notifikasi sistem
password_saved_successfully,Password saved successfully,已成功保存密碼,已成功保存密碼,Mật khẩu đã được lưu thành công,パスワードが正常に保存されました。,Kata sandi telah berhasil disimpan
password_error,Password Error,密碼錯誤,密碼錯誤,Lỗi Mật Khẩu,パスワードが間違っています。,Kata sandi salah
original_password_incorrect,Original password incorrect,原密碼錯誤,原密碼錯誤,Mật khẩu gốc không chính xác,原パスワードが間違っています。,Kata sandi lama salah
modify_password,Modify Password,修改密碼,修改密碼,Chỉnh Sửa Mật Khẩu,パスワードを変更する,Ubah Kata Sandi
original_password,Original Password,原密碼,原密碼,Mật Khẩu Gốc,原密碼的日文翻譯是「元のパスワード」。,Kata Sandi Lama
enter_original_password,Please enter the original password,請輸入原密碼,請輸入原密碼,Vui lòng nhập mật khẩu gốc,元のパスワードを入力してください。,Silakan masukkan kata sandi asli
new_password,New Password,新密碼,新密碼,Mật Khẩu Mới,新しいパスワード,Kata Sandi Baru
confirm_edit,Confirm Edit,確認修改,確認修改,Xác Nhận Chỉnh Sửa,変更を確認,Konfirmasi perubahan
personalization_settings,Personalization Settings,個性設置,個性設置,Cài Đặt Cá Nhân Hóa,個性設定,Pengaturan Personalisasi
safety_lock_settings,Safety Lock Settings,安全鎖設置,安全鎖設置,Cài Đặt Khóa An Toàn,セーフティロック設定,Pengaturan kunci keamanan
not_set,Not Set,未設置,未設置,Chưa Đặt,未設定,Belum diatur
update_check,Update Check,更新檢查,更新檢查,Kiểm Tra Cập Nhật,更新チェック,Pemeriksaan pembaruan
setting_translation_key,Settings,設置,設置,Cài Đặt,設置: 設置,mempersiapkan
promotion_person,Promotion Person,人推廣,人推廣,Người Thúc Đẩy,人推廣 in Japanese can be translated as 人のプロモーション,promosi
refresh_batch,Refresh Batch,換一批,換一批,Làm Mới Batch,交換一組,Segarkan Batch
more_videos_loading,More videos loading...,更多影片讀取中...,更多影片讀取中...,Đang Tải Thêm Video...,さらに動画を読み込み中…,Memuat lebih banyak video
countdown_timer,Countdown,倒數,倒數,Đếm Ngược,カウントダウン,Translation: Hitung mundur
g_point_video,G-Point Video,G 點視頻,G 點視頻,Video G-Point,G点视频,Video G-spot
account_recovery_instructions,"Used for account recovery, please keep it safe, do not disclose",用於找回帳號，請妥善保存，請勿露餡,用於找回帳號，請妥善保存，請勿露餡,"Dùng để khôi phục tài khoản, vui lòng lưu trữ cẩn thận, không tiết lộ",アカウントを回復するために使用しますので、大切に保管してください。漏らさないでください。,"Digunakan untuk mengambil kembali akun, harap disimpan dengan baik, jangan bocorkan"
website,Official Website:,官網地址：,官網地址：,Trang Web Chính Thức:,公式ウェブサイトのアドレス：,Alamat situs resmi:
popular_female_actors,Popular Actress,人氣女優,,,,Popular Actress
view_all,View All,查看全部,,,,Lihat Semua
selected_up,Featured Content Creators,精選UP主,,,,Pencipta Konten Unggulan
favorites,Bookmark,收藏,,,,Tandai
followed_up_user_see_more_video,Follow a specific content creator to see their latest videos.,關注某個UP主，以查看其最新影片。,,,,Ikuti pencipta konten tertentu untuk melihat video terbaru mereka.
number_of_videos,Video Categories,部影片,,,,Kategori Video
latest,Latest,最新,,,,Terbaru
hot,Hot,最熱,,,,Hot
all_regions,All Regions,全部地區,,,,Semua Daerah
all_publisher,All Companies,全部廠商,,,,Semua Perusahaan
all_supplier,All Content Creators,全部 UP主,,,,Semua Pencipta Konten
all_charge_type,All Payment Types,全部付費類型,,,,Semua Tipe Pembayaran
free,Free,免費,,,,Gratis
coin,Coins,金幣,,,,Koin
vip,VIP,VIP,,,,VIP
guest,Guest,訪客,,,,Tamu
content_updated,Content Updated,內容已更新,,,,Konten Diperbarui
no_more_for_now,No more for now,暫時沒有更多了,,,,Tidak ada lagi untuk saat ini.
you_might_be_interested,You might be interested.,你可能感興趣,,,,Anda mungkin tertarik.
